name,u_switch_portsum,u_switch_portcount
kubernetes,"MIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing ReportsMIGA Portal - Contracts Dashboard,MIGA Portal - Cost Code Finder,MIGA Portal - Country Risk Ratings (CRRD),MIGA Portal - Cover Memo,MIGA Portal - Environmental and Social Review Documentation (ESRD),MIGA Portal - Integrity Review Portal (IRP),MIGA Portal - Leads & Pipeline Management,MIGA Portal - Legal Portal,MIGA Portal - Portfolio Briefing Reports",33
BulkRepaymentSave,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
GenerateSecondExceptionReport,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
ScfPlatformCheckFileReceived,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
IFCGTNexusAS2,"Global Trade Supplier Finance (GTSF),Global Trade Supplier Finance (GTSF),Global Trade Supplier Finance (GTSF),Global Trade Supplier Finance (GTSF),",4
SublimitRollback,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
ifcgtsfwebapp,"Environmental and Social Review Database (ESRD)
Environmental and Social Review Database (ESRD)
Global Trade Supplier Finance (GTSF)
Global Trade Supplier Finance (GTSF)Environmental and Social Review Database (ESRD)
Environmental and Social Review Database (ESRD)
Global Trade Supplier Finance (GTSF)
Global Trade Supplier Finance (GTSF)Environmental and Social Review Database (ESRD)
Environmental and Social Review Database (ESRD)
Global Trade Supplier Finance (GTSF)
Global Trade Supplier Finance (GTSF)Environmental and Social Review Database (ESRD)
Environmental and Social Review Database (ESRD)
Global Trade Supplier Finance (GTSF)
Global Trade Supplier Finance (GTSF)",4
GetProjectExposure,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
GetGTSFSupplierList,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
GetGTSFProject,Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF)Global Trade Supplier Finance (GTSF),4
